source_page,category,item_name,description,price
home,description,,"Indulge yourself at The Hickory, the woody dine and wine.",
home,description,,The Hickory Restaurant Presents Cocktail O'clock.,
home,description,,Be sure to indulge yourself in wonderful Chef's Special recipes.,
home,description,,"The Hickory tree: hard, sturdy, tough, steady growing and durable. The Hickory tree story tells tales of our forefathers using it for wagon wheels and hand tools due to its robustness. The Hickory tree was used for the construction of the early aircrafts and would tell a tale of competence, adventure and a spirit of fortitude.",
home,description,,The Hickory restaurant and lounge represents all of the past tales of service and quality of the Hickory tree and brings it into fruition of our service to our clients.,
home,description,,Welcome to the woody wine and dine.,
food,Food,,Cheese Croquettes (V) 26 Mixed cheese cubes coated in breadcrumbs and lightly fried,
food,Food,,Mixed cheese cubes coated in breadcrumbs and lightly fried,
food,Food,,"Avocado Prawns 36 Base of lettuce, prawns and avocado in cocktail sauce",
food,Food,,"Base of lettuce, prawns and avocado in cocktail sauce",
food,Food,,"Chilli-garlic Prawns 36 Fresh, Zanzibar shrimp, pan-fried with chilli and garlic, finished with lemon and herbs on a bed of toasted bread",
food,Food,,"Fresh, Zanzibar shrimp, pan-fried with chilli and garlic, finished with lemon and herbs on a bed of toasted bread",
food,Food,,"Cashew Chicken 34 Juicy, aromatic cubes of stir-fried chicken fillet combined with roasted cashew nuts in a flavourful, brown-garlic sauce made from chicken stock and fresh mushrooms",
food,Food,,"Juicy, aromatic cubes of stir-fried chicken fillet combined with roasted cashew nuts in a flavourful, brown-garlic sauce made from chicken stock and fresh mushrooms",
food,Food,,"Barbeque Beef Meatballs 35 Well-seasoned, lean, ground beef with garlic, coriander and onions, finely baked and coated in a thick and sweet barbeque sauce, topped with fresh coriander and served with a garden-fresh salad",
food,Food,,"Well-seasoned, lean, ground beef with garlic, coriander and onions, finely baked and coated in a thick and sweet barbeque sauce, topped with fresh coriander and served with a garden-fresh salad",
food,Food,,"Pumpkin Soup (V) 25 Freshly roasted, spiced pumpkin soup combined with celery sticks, butter, garlic and coriander, served with deep-fried croutons",
food,Food,,"Freshly roasted, spiced pumpkin soup combined with celery sticks, butter, garlic and coriander, served with deep-fried croutons",
food,Food,,"Mongolian Beef Strips 34 Thin slices of flank steak of beef tossed in a Mongolian sauce and sweet peppers, served with a garden-fresh salad",
food,Food,,"Thin slices of flank steak of beef tossed in a Mongolian sauce and sweet peppers, served with a garden-fresh salad",
food,Food,,"Hickory Barbeque Chicken Wings 35 Buffalo chicken wings marinated in Asian condiments and finished with a spicy, barbeque glaze",
food,Food,,"Buffalo chicken wings marinated in Asian condiments and finished with a spicy, barbeque glaze",
food,Food,,Frittura Di Calamari 28 Deep-fried calamari served with tartar sauce,
food,Food,,Deep-fried calamari served with tartar sauce,
food,Food,,"Tempura Prawns 36 Deep-fried, butter-coated prawns with a honey -mayonnaise glaze",
food,Food,,"Deep-fried, butter-coated prawns with a honey -mayonnaise glaze",
food,Food,,"Bacon-wrapped Steak Bites 30 Well-seasoned cubes of beef fillet, wrapped in bacon and baked to perfection, served with a garden-fresh salad",
food,Food,,"Well-seasoned cubes of beef fillet, wrapped in bacon and baked to perfection, served with a garden-fresh salad",
food,Food,,"Fresh Soup of The Day 23 (Please, do ask your server)",
food,Food,,"(Please, do ask your server)",
food,Food,,"*Bisquick Chicken Tenders* 32 Crispy and tender chicken breast strips coated in breadcrumbs and deep-fried till golden-brown, served with sweet-chilli sauce and a garden-fresh salad",
food,Food,,"Crispy and tender chicken breast strips coated in breadcrumbs and deep-fried till golden-brown, served with sweet-chilli sauce and a garden-fresh salad",
food,Food,,"*Wingstop Garlic-parmesan Wings* 35 Scrumptious chicken wings, cooked to perfection with garlic and drizzled in Parmesan sauce",
food,Food,,"Scrumptious chicken wings, cooked to perfection with garlic and drizzled in Parmesan sauce",
food,Food,,"Hickory Organic Salad (V) 30 English cucumber, sweet bell peppers, black olives, tomatoes, lettuce, carrots and onions served with lemon and vinaigrette dressing",
food,Food,,"English cucumber, sweet bell peppers, black olives, tomatoes, lettuce, carrots and onions served with lemon and vinaigrette dressing",
food,Food,,"Greek Salad (V) 38 Lettuce, onions, cucumber, green peppers, tomatoes, black olives and feta cheese",
food,Food,,"Lettuce, onions, cucumber, green peppers, tomatoes, black olives and feta cheese",
food,Food,,"Chicken Caesar Salad 40 Fresh romaine lettuce, anchovies, croutons, grilled chicken breast and Caesar dressing",
food,Food,,"Fresh romaine lettuce, anchovies, croutons, grilled chicken breast and Caesar dressing",
food,Food,,"Mixed Sea Food Salad 49 Salmon, shrimp and calamari, sleeping on a bed of soft lettuce and topped with cherry tomatoes and cucumber",
food,Food,,"Salmon, shrimp and calamari, sleeping on a bed of soft lettuce and topped with cherry tomatoes and cucumber",
food,Food,,"Cobb Salad 44 Juicy, grilled chicken breast, avocado, tomatoes, eggs, bacon and cheddar cheese with shallot vinaigrette",
food,Food,,"Juicy, grilled chicken breast, avocado, tomatoes, eggs, bacon and cheddar cheese with shallot vinaigrette",
food,Food,,"Prawn, Mango and Avocado Salad 45 Fresh lettuce, tomatoes and mango topped with Zanzibar, herbed prawns, served with cocktail dressing",
food,Food,,"Fresh lettuce, tomatoes and mango topped with Zanzibar, herbed prawns, served with cocktail dressing",
food,Food,,"Thai Coconut Curry Combination of fresh cilantro leaves, basil leaves, coriander and coconut milk with a choice of either: • Steamed vegetables - 40 • Beef fillet - 47 • Chicken fillet - 49 • Tilapia fillet - 49 • Salmon fillet - 62",
food,Food,,"Combination of fresh cilantro leaves, basil leaves, coriander and coconut milk with a choice of either: • Steamed vegetables - 40 • Beef fillet - 47 • Chicken fillet - 49 • Tilapia fillet - 49 • Salmon fillet - 62",
food,Food,,"Thai Green Curry Combination of fresh cilantro leaves, lemon grass, galangal, chillies and kaffir lime with a choice of either: • Steamed vegetables - 40 • Beef fillet - 47 • Chicken fillet - 49 • Tilapia fillet - 49 • Salmon fillet - 62",
food,Food,,"Combination of fresh cilantro leaves, lemon grass, galangal, chillies and kaffir lime with a choice of either: • Steamed vegetables - 40 • Beef fillet - 47 • Chicken fillet - 49 • Tilapia fillet - 49 • Salmon fillet - 62",
food,Food,,"Thai Chilli-Basil Curry Combination of garlic, sweet peppers, onions and basil leaves, served with a choice of either: • Steamed vegetables - 40 • Beef fillet - 47 • Chicken fillet - 49 • Tilapia fillet - 49 • Salmon fillet - 62",
food,Food,,"Combination of garlic, sweet peppers, onions and basil leaves, served with a choice of either: • Steamed vegetables - 40 • Beef fillet - 47 • Chicken fillet - 49 • Tilapia fillet - 49 • Salmon fillet - 62",
food,Food,,"Goat Curry 50 Boneless cubes of goat leg cooked in a traditional, curry sauce",
food,Food,,"Boneless cubes of goat leg cooked in a traditional, curry sauce",
food,Food,,(Served with steamed rice),
food,Food,,"Classic Chicken Burger 49 Grilled, free-range chicken patty topped with lettuce, cheese, onions, tomatoes and mayonnaise",
food,Food,,"Grilled, free-range chicken patty topped with lettuce, cheese, onions, tomatoes and mayonnaise",
food,Food,,"Hickory Inspirational Beef Burger 49 Mouth-watering, well-spiced, grilled beef patty topped with lettuce, cheese, onions, tomatoes and mayonnaise",
food,Food,,"Mouth-watering, well-spiced, grilled beef patty topped with lettuce, cheese, onions, tomatoes and mayonnaise",
food,Food,,"Lake Victoria Fish Burger 47 English-style, crumbed tilapia fillet topped with slices of tomatoes, onion rings, lettuce and homemade Thousand Island dressing",
food,Food,,"English-style, crumbed tilapia fillet topped with slices of tomatoes, onion rings, lettuce and homemade Thousand Island dressing",
food,Food,,"Vegetable Burger (V) 43 Carefully selected, organic vegetables combined with French, caramelised onions",
food,Food,,"Carefully selected, organic vegetables combined with French, caramelised onions",
food,Food,,"Gourmet Italian Burger 55 A deliciously rich and flavourful blend of lean, ground beef and pork, grilled to perfection and topped with melted mozzarella cheese, fresh basil and our homemade, marinara sauce",
food,Food,,"A deliciously rich and flavourful blend of lean, ground beef and pork, grilled to perfection and topped with melted mozzarella cheese, fresh basil and our homemade, marinara sauce",
food,Food,,"Additions Bacon and free-range eggs - 8, Bacon - 6, Free-range eggs - 4",
food,Food,,"Bacon and free-range eggs - 8, Bacon - 6, Free-range eggs - 4",
food,Food,,(Served with crispy chips and a garden-fresh salad),
food,Food,,"Beef Fillet Steak 53 (served with parsley potatoes) Succulent, richly flavoured, organic beef fillet steak, served on a bed of steamed vegetables with a choice of either: • Béarnaise sauce • Mushroom sauce • Peppercorn sauce • Arrabbiata sauce",
food,Food,,"(served with parsley potatoes) Succulent, richly flavoured, organic beef fillet steak, served on a bed of steamed vegetables with a choice of either: • Béarnaise sauce • Mushroom sauce • Peppercorn sauce • Arrabbiata sauce",
food,Food,,"T-Bone Steak (500 grams) 70 T-bone steak marinated with thyme and garlic, grilled to your tenderness, served with peppercorn sauce and potato wedges",
food,Food,,"T-bone steak marinated with thyme and garlic, grilled to your tenderness, served with peppercorn sauce and potato wedges",
food,Food,,"Beef Fillet Steak In Gorgonzola Sauce 56 Grilled beef fillet drizzled with creamy gorgonzola sauce and topped with crispy bacon plus grilled onion rings, served with lyonnaise potatoes",
food,Food,,"Grilled beef fillet drizzled with creamy gorgonzola sauce and topped with crispy bacon plus grilled onion rings, served with lyonnaise potatoes",
food,Food,,"Bacon-Wrapped Beef Filet 55 Tender beef fillet wrapped in bacon, stuffed with cheese and mushrooms, served with creamy spinach, mushroom sauce and lyonnaise potatoes",
food,Food,,"Tender beef fillet wrapped in bacon, stuffed with cheese and mushrooms, served with creamy spinach, mushroom sauce and lyonnaise potatoes",
food,Food,,"Philly Cheesesteak Pasta 50 Flavourful strips of beef fillet combined with fusilli pasta, bell peppers and gorgonzola cheese",
food,Food,,"Flavourful strips of beef fillet combined with fusilli pasta, bell peppers and gorgonzola cheese",
food,Food,,"Lasagne Al Forno 50 Traditional, silky pasta sheets coated in a luxurious mix of our classic, homemade ragú Bolognese and creamy béchamel sauce, topped with a combination of mozzarella cheese plus Grana Padano cheese and baked to perfection",
food,Food,,"Traditional, silky pasta sheets coated in a luxurious mix of our classic, homemade ragú Bolognese and creamy béchamel sauce, topped with a combination of mozzarella cheese plus Grana Padano cheese and baked to perfection",
food,Food,,"Homemade Spaghetti Bolognese 47 Spaghetti pasta tossed in a classic, beef, Bolognese sauce",
food,Food,,"Spaghetti pasta tossed in a classic, beef, Bolognese sauce",
food,Food,,"Spaghetti Alla Carbonara 52 Freshly boiled pasta tossed with crispy bacon and finished with cooking cream, egg yolks and Parmesan cheese, served with garlic bread and Parmesan cheese",
food,Food,,"Freshly boiled pasta tossed with crispy bacon and finished with cooking cream, egg yolks and Parmesan cheese, served with garlic bread and Parmesan cheese",
food,Food,,"Tuscan Chicken Pasta 50 Penne pasta tossed in a creamy spinach sauce with boneless, tender strips of chicken and sun-dried tomatoes, topped with Grana Padano cheese",
food,Food,,"Penne pasta tossed in a creamy spinach sauce with boneless, tender strips of chicken and sun-dried tomatoes, topped with Grana Padano cheese",
food,Food,,"Creamy Tomato Risotto With Meatballs 53 Italian rice tossed in a thick and creamy tomato sauce with delectably juicy, beef meatballs, topped with fresh Parmesan cheese",
food,Food,,"Italian rice tossed in a thick and creamy tomato sauce with delectably juicy, beef meatballs, topped with fresh Parmesan cheese",
food,Food,,"Linguine Chicken-Bacon Alfredo 51 Classic Italian pasta in a creamy garlic sauce combined with soft, tender chicken breast chunks, topped with crispy bacon and Grana Padano cheese",
food,Food,,"Classic Italian pasta in a creamy garlic sauce combined with soft, tender chicken breast chunks, topped with crispy bacon and Grana Padano cheese",
food,Food,,"Risotto Ai Fruitti Di Mare 53 Risotto rice tossed with delicious, Zanzibar shrimp and calamari",
food,Food,,"Risotto rice tossed with delicious, Zanzibar shrimp and calamari",
food,Food,,Risotto In Fresh Ugandan Vegetables (V) 49 Traditional Italian rice tossed with steamed vegetables,
food,Food,,Traditional Italian rice tossed with steamed vegetables,
food,Food,,Penne Arrabbiata (V) 45 Penne pasta cooked in spicy tomato sauce and topped with fresh basil and Parmesan cheese,
food,Food,,Penne pasta cooked in spicy tomato sauce and topped with fresh basil and Parmesan cheese,
food,Food,,"Lasagne Alla Verdure (V) 46 Fresh pasta layered with fresh, Ugandan vegetables, béchamel sauce, Parmesan cheese and baked to perfection",
food,Food,,"Fresh pasta layered with fresh, Ugandan vegetables, béchamel sauce, Parmesan cheese and baked to perfection",
food,Food,,"*Hickory Steak Pasta* 50 Delectable, tomato and basil linguine pasta topped with juicy, beef fillet steak and fresh Grana Padano cheese",
food,Food,,"Delectable, tomato and basil linguine pasta topped with juicy, beef fillet steak and fresh Grana Padano cheese",
food,Food,,"*Chicken and Coconut Tomato Pasta* 50 A delightful combination of penne pasta, grilled chicken breast strips, coconut cream and tomato sauce to create an absolute masterpiece",
food,Food,,"A delightful combination of penne pasta, grilled chicken breast strips, coconut cream and tomato sauce to create an absolute masterpiece",
food,Food,,"Sauces 10 Tuscan, mushroom, peppercorn, pesto, arrabbiata, peanut, coconut, barbeque, Dijon, Puttanesca, tartar, béarnaise, gorgonzola, tomato-basil, white wine-caper, Cioppino, tomato-cashew nut, chilli-lime",
food,Food,,"Tuscan, mushroom, peppercorn, pesto, arrabbiata, peanut, coconut, barbeque, Dijon, Puttanesca, tartar, béarnaise, gorgonzola, tomato-basil, white wine-caper, Cioppino, tomato-cashew nut, chilli-lime",
food,Food,,"Sides 12 Steamed vegetables, garden-fresh salad, crispy chips, steamed rice, vegetable rice, mashed potatoes, potato wedges, parsley potatoes, avocado, lyonnaise potatoes, masala chips, fried plantain, creamy spinach",
food,Food,,"Steamed vegetables, garden-fresh salad, crispy chips, steamed rice, vegetable rice, mashed potatoes, potato wedges, parsley potatoes, avocado, lyonnaise potatoes, masala chips, fried plantain, creamy spinach",
food,Food,,"Ugandan Organic Pork Chops 54 Grilled pork chops sleeping on a bed of fresh, creamy sukuma-wiki, served with mushroom sauce and fried plantain",
food,Food,,"Grilled pork chops sleeping on a bed of fresh, creamy sukuma-wiki, served with mushroom sauce and fried plantain",
food,Food,,"Pork Ribs 57 (served with fried plantain) Fresh, mouth-watering pork ribs, filled with spices and baked until golden-brown, served with a choice of either: • Barbeque sauce • Pesto sauce • Mushroom sauce",
food,Food,,"(served with fried plantain) Fresh, mouth-watering pork ribs, filled with spices and baked until golden-brown, served with a choice of either: • Barbeque sauce • Pesto sauce • Mushroom sauce",
food,Food,,"Baked Nile Perch Fillet 49 Lake Victoria, Nile perch fillet marinated and baked to perfection on a bed of creamy spinach, served with creamy mushroom sauce and mashed potatoes",
food,Food,,"Lake Victoria, Nile perch fillet marinated and baked to perfection on a bed of creamy spinach, served with creamy mushroom sauce and mashed potatoes",
food,Food,,"Tuscan Smothered Pork Chops 56 Irresistibly juicy pork chops bathed in our homemade, creamy Tuscan sauce, served with fried plantain",
food,Food,,"Irresistibly juicy pork chops bathed in our homemade, creamy Tuscan sauce, served with fried plantain",
food,Food,,"Hickory Special Grilled Chicken Breast Stuffed With Spinach 50 Well-marinated chicken breast wrapped in bacon and stuffed with spinach and mozzarella cheese, served with mushroom sauce plus a side of steamed vegetables and steamed rice",
food,Food,,"Well-marinated chicken breast wrapped in bacon and stuffed with spinach and mozzarella cheese, served with mushroom sauce plus a side of steamed vegetables and steamed rice",
food,Food,,Tilapia Florentine 53 (served with steamed rice) Grilled fillet of tilapia set on a bed of creamy spinach and served with a choice of either: •Tomato-cashew nut sauce • Mushroom sauce • Tomato-basil sauce • Coconut sauce,
food,Food,,(served with steamed rice) Grilled fillet of tilapia set on a bed of creamy spinach and served with a choice of either: •Tomato-cashew nut sauce • Mushroom sauce • Tomato-basil sauce • Coconut sauce,
food,Food,,"Grilled Half In-Bone Chicken 52 Rosemary, oregano and honey-marinated chicken, served with mushroom sauce, handpicked vegetables and crispy chips",
food,Food,,"Rosemary, oregano and honey-marinated chicken, served with mushroom sauce, handpicked vegetables and crispy chips",
food,Food,,"Grilled Chicken Breast 50 (served with vegetable rice) Succulent, skinless chicken breast served with a choice of either: •Puttanesca sauce •Mushroom sauce •Peanut sauce •Coconut Sauce •Cioppino sauce",
food,Food,,"(served with vegetable rice) Succulent, skinless chicken breast served with a choice of either: •Puttanesca sauce •Mushroom sauce •Peanut sauce •Coconut Sauce •Cioppino sauce",
food,Food,,"Creamy Chicken Cordon Bleu 52 Breaded, tender chicken breast stuffed with cooked ham and cheese, topped with Dijon sauce and served with lyonnaise potatoes",
food,Food,,"Breaded, tender chicken breast stuffed with cooked ham and cheese, topped with Dijon sauce and served with lyonnaise potatoes",
food,Food,,"Hickory Carnival Platter 62 Mixed grill of ¼ chicken, mini-beef fillet steak, chicken skewers and pork skewers all served with creamy mushroom sauce and potato wedges",
food,Food,,"Mixed grill of ¼ chicken, mini-beef fillet steak, chicken skewers and pork skewers all served with creamy mushroom sauce and potato wedges",
food,Food,,"Fillet Of Salmon 75 Grilled, Norwegian salmon fillet served with steamed vegetables and tomato-cashew nut sauce, served with vegetable rice",
food,Food,,"Grilled, Norwegian salmon fillet served with steamed vegetables and tomato-cashew nut sauce, served with vegetable rice",
food,Food,,"Jumbo Prawns 72 Grilled, jumbo prawns marinated with garlic, butter and lemon, served with a garden-fresh salad, tartar sauce and crispy chips",
food,Food,,"Grilled, jumbo prawns marinated with garlic, butter and lemon, served with a garden-fresh salad, tartar sauce and crispy chips",
food,Food,,Pan-Seared Tilapia On A Bed Of Pasta 54 Grilled tilapia fillet sleeping on a bed of linguine pasta in pesto sauce and served with steamed vegetables,
food,Food,,Grilled tilapia fillet sleeping on a bed of linguine pasta in pesto sauce and served with steamed vegetables,
food,Food,,Chilli-Lime Steak Fajita 56 Delectably juicy beef fillet marinated with a blend of Moroccan spices in chilli-lime sauce and served with fresh avocado slices and mashed potatoes,
food,Food,,Delectably juicy beef fillet marinated with a blend of Moroccan spices in chilli-lime sauce and served with fresh avocado slices and mashed potatoes,
food,Food,,"Creamy Tuscan Salmon Fillet 79 Pan-seared, Norwegian salmon fillet bathed in our homemade, creamy Tuscan sauce and served with risotto rice",
food,Food,,"Pan-seared, Norwegian salmon fillet bathed in our homemade, creamy Tuscan sauce and served with risotto rice",
food,Food,,"*Zippy Breaded Pork Chops* 56 Perfectly seasoned, boneless pork chops, coated in breadcrumbs and deep-fried till golden-brown, served with mushroom sauce and masala chips",
food,Food,,"Perfectly seasoned, boneless pork chops, coated in breadcrumbs and deep-fried till golden-brown, served with mushroom sauce and masala chips",
food,Food,,"*Bacon-Wrapped Tilapia* 55 Fresh, Lake Victoria tilapia fillet wrapped in bacon and grilled to perfection, served with our homemade, white wine-caper sauce and mashed potatoes",
food,Food,,"Fresh, Lake Victoria tilapia fillet wrapped in bacon and grilled to perfection, served with our homemade, white wine-caper sauce and mashed potatoes",
food,Food,,Organic Fruit Salad With Ice Cream 18,
food,Food,,Cake of The Day Slice 22,
food,Food,,Crème Brûlèe 25,
food,Food,,New York Cheesecake 30,
food,Food,,Chocolate Fondant 29,
food,Food,,*Apple Crumble Tart* 30,
food,Food,,2 Scoops of Ice Cream 15,
food,Food,,Nutty Caramel and Chocolate Sundae 22,
food,Food,,* New item * (V) Vegetarian,
food,Food,,"In case of any food allergies, please inform your server. All prices are in '000s Uganda Shillings and are inclusive of all Government taxes.",
drinks,Drinks,,Espresso Single 7,
drinks,Drinks,,Espresso Double 10,
drinks,Drinks,,Cappuccino Single 9,
drinks,Drinks,,Cappuccino Double 12,
drinks,Drinks,,Americano Single 8,
drinks,Drinks,,Americano Double 12,
drinks,Drinks,,Hot Chocolate 12,
drinks,Drinks,,African Coffee 12,
drinks,Drinks,,Black Tea Plain 8,
drinks,Drinks,,Black Tea Spiced 8,
drinks,Drinks,,African Tea Spiced 9,
drinks,Drinks,,Imported Cider 12,
drinks,Drinks,,Imported Beer 12,
drinks,Drinks,,Sparkling Water 6,
drinks,Drinks,,"Appletini 24 A sweet, refreshing martini drink in green apple flavour with generous measures of house vodka to give it a proper kick",
drinks,Drinks,,"A sweet, refreshing martini drink in green apple flavour with generous measures of house vodka to give it a proper kick",
drinks,Drinks,,Cosmopolitan 24 An incarnating cocktail dating back to 1934 comprising of an equal part of vodka and triple sec plus fresh cranberry juice for extra fruitiness,
drinks,Drinks,,An incarnating cocktail dating back to 1934 comprising of an equal part of vodka and triple sec plus fresh cranberry juice for extra fruitiness,
drinks,Drinks,,"Dry Martini 24 A traditional, aperitif cocktail best for your taste buds as you wait to be served a delicious meal, not to mention the olives",
drinks,Drinks,,"A traditional, aperitif cocktail best for your taste buds as you wait to be served a delicious meal, not to mention the olives",
drinks,Drinks,,"Hickopolitan 24 Adopted from the famous Cosmopolitan with a minty twist in taste, we bring you a signature cocktail to mix and mingle with",
drinks,Drinks,,"Adopted from the famous Cosmopolitan with a minty twist in taste, we bring you a signature cocktail to mix and mingle with",
drinks,Drinks,,Classic Margarita 26 A Mexican tequila thirst-quencher with triple sec and freshly squeezed lime juice,
drinks,Drinks,,A Mexican tequila thirst-quencher with triple sec and freshly squeezed lime juice,
drinks,Drinks,,Old Fashioned 35 A gentleman's drink that takes a little more time to craft but to a perfect mix of sweet Merlot and Bourbon whiskey for a perfect evening,
drinks,Drinks,,A gentleman's drink that takes a little more time to craft but to a perfect mix of sweet Merlot and Bourbon whiskey for a perfect evening,
drinks,Drinks,,"Absolut Paradise 24 An iconic, raspberry-based cocktail infused with fresh berries and perfectly complemented with expressive notes of rum plus fresh pineapple juice",
drinks,Drinks,,"An iconic, raspberry-based cocktail infused with fresh berries and perfectly complemented with expressive notes of rum plus fresh pineapple juice",
drinks,Drinks,,"Rose and Basil 24 The Hickory's crafty bartenders bring you a well-balanced, spicy and herbaceous gin-based cocktail with hints of rosemary and basil",
drinks,Drinks,,"The Hickory's crafty bartenders bring you a well-balanced, spicy and herbaceous gin-based cocktail with hints of rosemary and basil",
drinks,Drinks,,"Lady in Red 24 A Hickory perfection of London gin, bold and aromatic with a sensational strawberry and grapes finishing. You have definitely got to try this",
drinks,Drinks,,"A Hickory perfection of London gin, bold and aromatic with a sensational strawberry and grapes finishing. You have definitely got to try this",
drinks,Drinks,,Red/White Sangria 25 An iced punch comprising of an infusion of fruits and red/white wine,
drinks,Drinks,,An iced punch comprising of an infusion of fruits and red/white wine,
drinks,Drinks,,"Whiskey Sour 28 Famous for evening chills served sweet and sour with a nice, pulpy, pineapple texture to your palates",
drinks,Drinks,,"Famous for evening chills served sweet and sour with a nice, pulpy, pineapple texture to your palates",
drinks,Drinks,,Cookie Monster 23 Baileys Irish cream freakshake to a treat of cookies and chocolate,
drinks,Drinks,,Baileys Irish cream freakshake to a treat of cookies and chocolate,
drinks,Drinks,,"Mojito 22 A Cuban classic dating as far as the 1500's with a simple mixture of rum, mint, sugar and freshly squeezed lime juice",
drinks,Drinks,,"A Cuban classic dating as far as the 1500's with a simple mixture of rum, mint, sugar and freshly squeezed lime juice",
drinks,Drinks,,"Long Island Iced Tea 30 For the love of our customers, it is a no cheat zone since we go all the way with the spirits. For islanders, you are going to love it",
drinks,Drinks,,"For the love of our customers, it is a no cheat zone since we go all the way with the spirits. For islanders, you are going to love it",
drinks,Drinks,,"Frosty Deep Pool 32 Adopted from the famous bullfrog, dive into this boozy, energetic drink but be careful as you might go legless with this one since it is powered with five different spirits and red bull",
drinks,Drinks,,"Adopted from the famous bullfrog, dive into this boozy, energetic drink but be careful as you might go legless with this one since it is powered with five different spirits and red bull",
drinks,Drinks,,"Bulago Island Breeze 25 The pearl of Africa is well known for its beautiful tropical islands, which is why we have crafted this fruity punch out of Uganda waragi pineapple. Sit back and allow the island breeze to blow you away",
drinks,Drinks,,"The pearl of Africa is well known for its beautiful tropical islands, which is why we have crafted this fruity punch out of Uganda waragi pineapple. Sit back and allow the island breeze to blow you away",
drinks,Drinks,,*Watermelon Smash* 24 A summer cocktail that pairs vodka with whisky liqueur and is finished with fresh watermelon juice,
drinks,Drinks,,A summer cocktail that pairs vodka with whisky liqueur and is finished with fresh watermelon juice,
drinks,Drinks,,"Mai Tai 24 A highly flavoured, long, refreshing drink with touches of quality rum infused in tropical fruit juice and Italian liqueur",
drinks,Drinks,,"A highly flavoured, long, refreshing drink with touches of quality rum infused in tropical fruit juice and Italian liqueur",
drinks,Drinks,,"Queen Slayer 24 Amarula, chocolate sauce and spiced rum perfectly blended in equal portions will definitely get you glammed up",
drinks,Drinks,,"Amarula, chocolate sauce and spiced rum perfectly blended in equal portions will definitely get you glammed up",
drinks,Drinks,,*Jumping Jack* 24 Jack Daniel's honey whiskey spiced up with ginger ale to create the perfect refresher,
drinks,Drinks,,Jack Daniel's honey whiskey spiced up with ginger ale to create the perfect refresher,
drinks,Drinks,,Genie in a Goblet 24 A gin and tonic spiced up with mint liqueur and fresh mint. You have definitely got to try this,
drinks,Drinks,,A gin and tonic spiced up with mint liqueur and fresh mint. You have definitely got to try this,
drinks,Drinks,,Sexy Back 24 Get hammered with this passion and berries-infused beauty made out of skky vodka. She is sexy and strong too,
drinks,Drinks,,Get hammered with this passion and berries-infused beauty made out of skky vodka. She is sexy and strong too,
drinks,Drinks,,"Cherry Kisses 26 Enjoy this vodka-based, raspberry cocktail with love and affection",
drinks,Drinks,,"Enjoy this vodka-based, raspberry cocktail with love and affection",
drinks,Drinks,,"Negroni 25 Enjoy this refreshingly bitter classic made with vibrant Campari, sweet vermouth and gin",
drinks,Drinks,,"Enjoy this refreshingly bitter classic made with vibrant Campari, sweet vermouth and gin",
drinks,Drinks,,Bay Breeze 24 A nice blend of Uganda waragi coconut with a touch of Smirnoff vodka and strawberry purée,
